label,batch_path,demonstration_protocol,total,converged,unconverged,llm_failed,context_length_exceeded,convergence_rate,mean_convergence_iteration,mean_final_overshoot,median_final_overshoot,mean_final_steady_state_error,median_final_steady_state_error,analysis_horizon
Full,runs\first_order_100_qwen3_7_plus,perturbed_imc_delay_stratified_v1,100,89,11,0,0,0.89,1.2134831460674158,8.11678,2.102499999999996,0.23890480000000067,0.0,
KPI-3,runs\first_order_100_qwen3_7_plus_kpi3,perturbed_imc_delay_stratified_v1,100,81,19,0,0,0.81,1.1975308641975309,11.171919999999998,2.783000000000002,0.2996397,0.0,
Numeric-8,runs\first_order_100_qwen3_7_plus_numeric8,perturbed_imc_delay_stratified_v1,100,89,11,0,0,0.89,1.2584269662921348,7.285589999999998,1.8695000000000017,0.1245951999999999,0.0,
