system,prompt,count,mean,median,std,min,max
first_order,Full,100,33.12549443600862,39.90801571386988,44.017186782839595,-221.00458521631734,98.47517036621045
first_order,KPI-3,100,29.393165053063356,39.088843097575804,45.47975402962481,-147.71758976680107,98.3876804553988
first_order,Numeric-8,100,39.92599156650087,45.293031626857015,32.081341398619024,-137.6268442522429,98.47517036621045
second_order,Full,100,37.710001208681554,35.277052257363664,35.587771673343106,-144.93300340379758,93.41470105931464
second_order,KPI-3,100,27.93510910945965,36.150591301762134,54.43316086478591,-209.73969511496537,93.74767591911223
second_order,Numeric-8,100,38.0301350352393,42.41501533422333,44.381570036498296,-240.22711699235398,91.1504899494693
