label,result_path,source_file,overshoot,steady_state_error
IMC,runs\second_order_100_imc\group_014_example_K_second_0.42_tau1_54.64_tau2_76.89,runs\second_order_100_imc\group_014_example_K_second_0.42_tau1_54.64_tau2_76.89\value_curve_iteration_1.txt,1.8850000000000033,0.0
DeepSeek-V4-Flash,runs\second_order_100_deepseek_v4_flash\group_014_example_K_second_0.42_tau1_54.64_tau2_76.89,runs\second_order_100_deepseek_v4_flash\group_014_example_K_second_0.42_tau1_54.64_tau2_76.89\value_curve_iteration_1.txt,0.0,0.0
Qwen3.7-Plus,runs\second_order_100_qwen3_7_plus\group_014_example_K_second_0.42_tau1_54.64_tau2_76.89,runs\second_order_100_qwen3_7_plus\group_014_example_K_second_0.42_tau1_54.64_tau2_76.89\value_curve_iteration_2.txt,4.346000000000005,0.0
SFT-0.6B,runs\second_order_100_sft_qwen3_0p6b\group_014_example_K_second_0.42_tau1_54.64_tau2_76.89,runs\second_order_100_sft_qwen3_0p6b\group_014_example_K_second_0.42_tau1_54.64_tau2_76.89\value_curve_iteration_1.txt,9.670000000000002,0.0
GRPO-0.6B,runs\second_order_100_grpo_qwen3_0p6b\group_014_example_K_second_0.42_tau1_54.64_tau2_76.89,runs\second_order_100_grpo_qwen3_0p6b\group_014_example_K_second_0.42_tau1_54.64_tau2_76.89\value_curve_iteration_1.txt,0.0,0.0
