label,result_path,source_file,overshoot,steady_state_error
IMC,runs\first_order_100_imc\group_018_example_K_0.67_T_204,runs\first_order_100_imc\group_018_example_K_0.67_T_204\value_curve_iteration_1.txt,0.4250000000000087,0.0
DeepSeek-V4-Flash,runs\first_order_100_deepseek_v4_flash\group_018_example_K_0.67_T_204,runs\first_order_100_deepseek_v4_flash\group_018_example_K_0.67_T_204\value_curve_iteration_1.txt,5.556000000000005,0.0
Qwen3.7-Plus,runs\first_order_100_qwen3_7_plus\group_018_example_K_0.67_T_204,runs\first_order_100_qwen3_7_plus\group_018_example_K_0.67_T_204\value_curve_iteration_1.txt,0.09699999999999154,0.0
SFT-0.6B,runs\first_order_100_sft_qwen3_0p6b\group_018_example_K_0.67_T_204,runs\first_order_100_sft_qwen3_0p6b\group_018_example_K_0.67_T_204\value_curve_iteration_1.txt,1.44200000000001,0.0
GRPO-0.6B,runs\first_order_100_grpo_qwen3_0p6b\group_018_example_K_0.67_T_204,runs\first_order_100_grpo_qwen3_0p6b\group_018_example_K_0.67_T_204\value_curve_iteration_1.txt,0.16099999999998893,0.0
