label,result_path,source_file,overshoot,steady_state_error
IMC,runs\first_order_100_imc\group_055_example_K_0.84_T_336,runs\first_order_100_imc\group_055_example_K_0.84_T_336\value_curve_iteration_1.txt,1.204000000000005,0.0
DeepSeek-V4-Flash,runs\first_order_100_deepseek_v4_flash\group_055_example_K_0.84_T_336,runs\first_order_100_deepseek_v4_flash\group_055_example_K_0.84_T_336\value_curve_iteration_1.txt,0.0,0.0
Qwen3.7-Plus,runs\first_order_100_qwen3_7_plus\group_055_example_K_0.84_T_336,runs\first_order_100_qwen3_7_plus\group_055_example_K_0.84_T_336\value_curve_iteration_1.txt,7.925000000000004,0.0
SFT-0.6B,runs\first_order_100_sft_qwen3_0p6b\group_055_example_K_0.84_T_336,runs\first_order_100_sft_qwen3_0p6b\group_055_example_K_0.84_T_336\value_curve_iteration_1.txt,14.423000000000009,0.0
GRPO-0.6B,runs\first_order_100_grpo_qwen3_0p6b\group_055_example_K_0.84_T_336,runs\first_order_100_grpo_qwen3_0p6b\group_055_example_K_0.84_T_336\value_curve_iteration_1.txt,8.499999999999996,0.0
