label,result_path,source_file,overshoot,steady_state_error
IMC,runs\second_order_100_imc\group_052_example_K_second_1.62_tau1_6.26_tau2_26.23,runs\second_order_100_imc\group_052_example_K_second_1.62_tau1_6.26_tau2_26.23\value_curve_iteration_1.txt,7.739999999999991,0.0
DeepSeek-V4-Flash,runs\second_order_100_deepseek_v4_flash\group_052_example_K_second_1.62_tau1_6.26_tau2_26.23,runs\second_order_100_deepseek_v4_flash\group_052_example_K_second_1.62_tau1_6.26_tau2_26.23\value_curve_iteration_1.txt,1.0180000000000078,0.0
Qwen3.7-Plus,runs\second_order_100_qwen3_7_plus\group_052_example_K_second_1.62_tau1_6.26_tau2_26.23,runs\second_order_100_qwen3_7_plus\group_052_example_K_second_1.62_tau1_6.26_tau2_26.23\value_curve_iteration_1.txt,9.31900000000001,0.0
SFT-0.6B,runs\second_order_100_sft_qwen3_0p6b\group_052_example_K_second_1.62_tau1_6.26_tau2_26.23,runs\second_order_100_sft_qwen3_0p6b\group_052_example_K_second_1.62_tau1_6.26_tau2_26.23\value_curve_iteration_1.txt,10.00399999999999,0.0
GRPO-0.6B,runs\second_order_100_grpo_qwen3_0p6b\group_052_example_K_second_1.62_tau1_6.26_tau2_26.23,runs\second_order_100_grpo_qwen3_0p6b\group_052_example_K_second_1.62_tau1_6.26_tau2_26.23\value_curve_iteration_1.txt,0.7719999999999949,0.0
