system,prompt,count,mean,median,std,min,max
first_order,Full,100,31.940944256406546,31.882385500499105,28.241931304845302,-18.85904905908726,98.31245805414623
first_order,KPI-3,100,31.501520723307703,36.25026234349515,34.37796730739471,-84.2802970926661,98.47517036621045
first_order,Numeric-8,100,36.178428988130996,39.3291257058585,32.48744418550167,-81.56934724284577,98.31245805414623
second_order,Full,100,38.931670176826046,36.34138433979609,28.785213826758206,-38.258876578413705,92.77980777919312
second_order,KPI-3,100,35.69370184658091,37.49555029268047,41.11495365496184,-188.47202562727958,93.56365584865354
second_order,Numeric-8,100,37.89345532808057,41.82982405695296,38.596935183069874,-188.47202562727958,93.0483333606226
