batch_path,label,case_id,final_iteration,convergence_iteration,converged,final_overshoot,final_steady_state_error,demonstration_protocol,stop_reason,analysis_horizon,failed_next_llm_call,max_iterations
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_028_example_K_0.37_T_346,1,,False,16.368000000000006,0.0,perturbed_imc_delay_stratified_v1,max_iterations,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_029_example_K_0.49_T_533,1,,False,31.044999999999987,0.033170000000004585,perturbed_imc_delay_stratified_v1,max_iterations,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_030_example_K_0.86_T_426,1,,False,17.985000000000007,0.0,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_031_example_K_0.82_T_257,1,1.0,True,1.7099999999999893,0.15242000000000866,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_032_example_K_0.31_T_123,1,1.0,True,2.8489999999999904,0.0,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_033_example_K_0.68_T_208,1,,False,17.724000000000007,0.0,perturbed_imc_delay_stratified_v1,max_iterations,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_034_example_K_0.62_T_413,1,,False,18.29400000000001,0.0,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_035_example_K_0.82_T_313,1,,False,19.962999999999997,0.005670000000002062,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_036_example_K_0.74_T_421,1,1.0,True,0.266999999999995,0.0009999999999843467,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_037_example_K_0.64_T_163,1,1.0,True,6.208999999999998,0.0,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
runs\first_order_100_deepseek_v4_flash,DeepSeek-V4-Flash,group_038_example_K_0.36_T_128,1,1.0,True,0.0,0.0,perturbed_imc_delay_stratified_v1,success_threshold,1,,1
